Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,Unnamed: 6
,01A,kg,Fittings for trunks and the like,,,
,09G,kg,Other,,,
8302.50.00,00J,kg,"Hat-racks, hat-pegs, brackets and similar fixtures",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8302.60.00,,,Automatic door closers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01L,kg,Hydraulic types,,,
,09F,kg,Other,,,
83.03,,,,,,
8303.00.00,00J,kg,"Armoured or reinforced safes, strong-boxes and doors and safe",,,
,,,"deposit lockers for strong-rooms, cash or deed boxes and the like, of",,,
,,,base metal,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
83.04,,,,,,
8304.00.00,00G,.,"Filing cabinets, card-index cabinets, paper trays, paper rests, pen",,,
,,,"trays, office-stamp stands and similar office or desk equipment, of",,,
,,,"base metal, other than office furniture of heading 94.03",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
83.05,,,"Fittings for loose-leaf binders or files, letter clips, letter corners, paper",,,
,,,"clips, indexing tags and similar office articles, of base metal; staples in",,,
,,,"strips (for example, for offices, upholstery, packaging), of base metal:",,,
8305.10.00,00J,kg,Fittings for loose-leaf binders or files,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8305.20.00,00B,kg,Staples in strips,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8305.90.00,,,"Other, including parts",5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01F,Th,Paper clips,,,
,09A,kg,Other,,,
83.06,,,"Bells, gongs and the like, non-electric, of base metal; statuettes and",,,
,,,"other ornaments, of base metal; photograph, picture or similar",,,
,,,"frames, of base metal; mirrors of base metal:",,,
8306.1,,,"Bells, gongs and the like:",,,
8306.10.01,00C,.,For cycles,Free,Free,
8306.10.09,00D,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,Statuettes and other ornaments:,,,
8306.21.00,00E,.,Plated with precious metal,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 5,
,,,,,1/2025 5,
8306.29.00,00A,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,CPT Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
8306.30.00,00D,.,"Photograph, picture or similar frames; mirrors",5,Free,
,,,,,*See Below,
,,,,,CA 1,
83.07,,,"Flexible tubing of base metal, with or without fittings:",,,
8307.10.00,00E,.,Of iron or steel,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
8307.90.00,00D,.,Of other base metal,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
83.08,,,"Clasps, frames with clasps, buckles, buckle-clasps, hooks, eyes, eyelets",,,
,,,"and the like, of base metal, of a kind used for clothing or clothing",,,
,,,"accessories, footwear, jewellery, wrist-watches, books, awnings, leather",,,
,,,"goods, travel goods or saddlery or for other made up articles; tubular",,,
,,,"or bifurcated rivets, of base metal; beads and spangles, of base metal.",,,
8308.10.00,,,"Hooks, eyes and eyelets",Free,Free,
,01A,.,Hooks and eyes,,,
,09G,.,Eyelets,,,
8308.2,,,Tubular or bifurcated rivets:,,,
8308.20.01,00C,Th,"Tubular rivets, blind",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8308.20.09,00D,Th,Other,Free,Free,
8308.9,,,"Other, including parts:",,,
8308.90.01,,,Frames with clasps for handbags and the like,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,01G,No.,Frames measuring not more than 204 mm in width between the,,,
,,,hinges,,,
,09B,No.,Other,,,
8308.90.09,,,"Buckles, buckle-clasps and the like",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01H,No.,Car safety seat belt buckles,,,
,09C,.,Other,,,
8308.90.19,00E,.,Other,Free,Free,
83.09,,,"Stoppers, caps and lids (including crown corks, screw caps and",,,
,,,"pouring stoppers), capsules for bottles, threaded bungs, bung covers,",,,
,,,"seals and other packing accessories, of base metal:",,,
8309.10.00,00A,Hd,Crown corks,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8309.9,,,Other:,,,
8309.90.01,00G,.,Bungs for drums,Free,Free,
8309.90.09,00H,.,Other stoppers and bottle caps,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8309.90.11,00B,.,Muselets; seals and bands of a kind used domestically for preserving,,,
,,,produce,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
8309.90.19,,,Other,Free,Free,
,01A,.,Capsules for bottles,,,
,09G,.,Other,,,
83.1,,,,,,
8310,,,"Sign-plates, name-plates, address-plates and similar plates, numbers,",,,
,,,"letters and other symbols, of base metal, excluding those of heading",,,
,,,94.05:,,,
8310.00.01,00H,.,"Sign-plates, name-plates and badges for motor vehicles, other than",,,
,,,number plates for motor vehicles,Free,Free,
8310.00.09,00J,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 5,
,,,,,1/2025 5,
83.11,,,"Wire, rods, tubes, plates, electrodes and similar products, of base",,,
,,,"metal or of metal carbides, coated or cored with flux material, of a",,,
,,,"kind used for soldering, brazing, welding or deposition of metal or of",,,
,,,"metal carbides; wire and rods, of agglomerated base metal powder,",,,
,,,used for metal spraying:,,,
8311.10.00,00C,kg,"Coated electrodes of base metal, for electric arc-welding",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8311.20.00,00G,kg,"Cored wire of base metal, for electric arc-welding",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8311.30.00,00L,kg,"Coated rods and cored wire, of base metal, for soldering, brazing or",,,
,,,welding by flame,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8311.9,,,Other:,,,
8311.90.01,00J,kg,"Wire and rods, of agglomerated base metal powder, used for metal",,,
,,,spraying,Free,Free,
8311.90.09,00K,kg,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
84.01,,,"Nuclear reactors; fuel elements (cartridges), non-irradiated, for",,,
,,,nuclear reactors; machinery and apparatus for isotopic separation:,,,
8401.10.00,00B,.,Nuclear reactors,Free,Free,
8401.20.00,00F,.,"Machinery and apparatus for isotopic separation, and parts thereof",Free,Free,
8401.30.00,00K,.,"Fuel elements (cartridges), non-irradiated",Free,Free,
8401.40.00,00C,.,Parts of nuclear reactors,Free,Free,
84.02,,,Steam or other vapour generating boilers (other than central heating,,,
,,,hot water boilers capable also of producing low pressure steam);,,,
,,,super-heated water boilers:,,,
,,,Steam or other vapour generating boilers:,,,
8402.11.00,00E,kg,Watertube boilers with a steam production exceeding 45 t per hour,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 5,
,,,,,1/2025 5,
8402.12.00,00K,kg,Watertube boilers with a steam production not exceeding 45 t per hour,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8402.19.00,00A,kg,"Other vapour generating boilers, including hybrid boilers",5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8402.20.00,00D,.,Super-heated water boilers,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8402.90.00,00K,.,Parts,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 5,
,,,,,1/2025 5,
84.03,,,Central heating boilers other than those of heading 84.02:,,,
8403.10.00,00J,kg,Boilers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8403.90.00,00H,kg,Parts,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
84.04,,,Auxiliary plant for use with boilers of heading 84.02 or 84.03 (for,,,
,,,"example, economisers, super-heaters, soot removers, gas recoverers);",,,
,,,condensers for steam or other vapour power units:,,,
8404.10.00,00G,kg,Auxiliary plant for use with boilers of heading 84.02 or 84.03,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8404.20.00,00L,kg,Condensers for steam or other vapour power units,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8404.90.00,00F,.,Parts,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
84.05,,,"Producer gas or water gas generators, with or without their purifiers;",,,
,,,"acetylene gas generators and similar water process gas generators,",,,
,,,with or without their purifiers:,,,
8405.10.00,00E,.,"Producer gas or water gas generators, with or without their purifiers;",,,
,,,"acetylene gas generators and similar water process gas generators, with",,,
,,,or without their purifiers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
8405.90.00,00D,.,Parts,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
84.06,,,Steam turbines and other vapour turbines:,,,
8406.10.00,00C,kg,Turbines for marine propulsion,Free,Free,
,,,Other turbines:,,,
8406.81.00,00C,kg,Of an output exceeding 40 MW,Free,Free,
8406.82.00,00H,kg,Of an output not exceeding 40 MW,Free,Free,
8406.90.00,00B,.,Parts,Free,Free,
84.07,,,Spark-ignition reciprocating or rotary internal combustion piston,,,
,,,engines:,,,
8407.10.00,00A,No.,Aircraft engines,Free,Free,
,,,Marine propulsion engines:,,,
8407.21.00,,,Outboard motors,Free,Free,
,01H,No.,Exceeding 5.22 kW,,,
,09C,No.,Other,,,
8407.29.00,00F,No.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Reciprocating piston engines of a kind used for the propulsion of,,,
,,,vehicles of Chapter 87:,,,
8407.31,,,Of a cylinder capacity not exceeding 50 cc:,,,
8407.31.01,,,Cycle and tractor engines,Free,Free,
,01H,No.,For cycles,,,
,09C,No.,For tractors,,,
8407.31.09,00L,No.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8407.32,,,Of a cylinder capacity exceeding 50 cc but not exceeding 250 cc:,,,
8407.32.01,,,Cycle and tractor engines,Free,Free,
,01B,No.,For cycles,,,
,09H,No.,For tractors,,,
8407.32.09,00E,No.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8407.33,,,"Of a cylinder capacity exceeding 250 cc but not exceeding 1,000 cc:",,,
8407.33.01,,,Cycle and tractor engines,Free,Free,
,01G,No.,For cycles,,,
,09B,No.,For tractors,,,
8407.33.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,For propelling motor vehicles of Tariff headings 87.02 to 87.04:,,,
,01H,No.,New engines,,,
,,,Used engines:,,,
,11E,No.,Reconditioned,,,
,19L,No.,Other,,,
,29H,No.,Other,,,
,,,"Spark-ignition reciprocating or rotary internal, etc.continued",,,
,,,"Reciprocating piston engines of a kind used for the, etc.continued",,,
8407.34,,,"Of a cylinder capacity exceeding 1,000 cc:",,,
8407.34.01,,,Cycle and tractor engines,Free,Free,
,01A,No.,For cycles,,,
,09G,No.,For tractors,,,
8407.34.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,For propelling motor vehicles of Tariff headings 87.02 to 87.04:,,,
,01B,No.,New engines,,,
,,,Used engines:,,,
,11K,No.,Reconditioned,,,
,19E,No.,Other,,,
,29B,No.,Other,,,
8407.90.00,,,Other engines,Free,Free,
,01J,No.,Vehicle engines,,,
,09D,No.,Other,,,
84.08,,,Compression-ignition internal combustion piston engines (diesel or,,,
,,,semi-diesel engines):,,,
8408.1,,,Marine propulsion engines:,,,
8408.10.01,,,Outboard,Free,Free,
,01D,No.,Exceeding 5.22 kW,,,
,09K,No.,Other,,,
8408.10.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01E,No.,Water cooled,,,
,09L,No.,Air cooled,,,
8408.2,,,Engines of a kind used for the propulsion of vehicles of Chapter 87:,,,
8408.20.01,,,Cycle and tractor engines,Free,Free,
,01H,No.,For cycles,,,
,09C,No.,For tractors,,,
8408.20.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,For propelling motor vehicles of Tariff headings 87.02 to 87.04:,,,
,01J,No.,New engines,,,
,,,Used engines:,,,
,11F,No.,Reconditioned,,,
,19A,No.,Other,,,
,29J,No.,Other,,,
8408.90.00,,,Other engines,Free,Free,
,01G,No.,Vehicle engines,,,
,09B,No.,Other,,,
84.09,,,Parts suitable for use solely or principally with the engines of heading,,,
,,,84.07 or 84.08:,,,
8409.10.00,00H,.,For aircraft engines,Free,Free,
,,,Other:,,,
8409.91,,,Suitable for use solely or principally with spark-ignition internal,,,
,,,combustion piston engines:,,,
,,,"Parts suitable for use solely or principally with the, etc.continued",,,
,,,Othercontinued,,,
,,,"Suitable for use solely or principally with spark-ignition, etc.continued",,,
8409.91.01,,,"Pistons, cylinder sleeves, piston rings, valves and valve seat",,,
,,,"inserts, mufflers",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01F,No.,Mufflers,,,
,09A,No.,Cylinder sleeves,,,
,,,Engine valves:,,,
,11C,No.,Inlet,,,
,19J,No.,Exhaust,,,
,21L,No.,Piston castings in the rough,,,
,,,Other:,,,
,,,For use in cylinders having a nominal bore not exceeding,,,
,,,140 mm:,,,
,31H,No.,Piston rings,,,
,39C,No.,Pistons (without rings),,,
,41E,No.,Piston assemblies,,,
,49L,.,Other,,,
,,,Other:,,,
,51B,No.,Piston rings,,,
,59H,No.,Pistons (without rings),,,
,61K,No.,Piston assemblies,,,
,69E,.,Other,,,
,,,Other parts:,,,
8409.91.11,,,Of cycle and tractor engines,Free,Free,
,01A,.,Of cycle engines,,,
,09G,.,Of tractor engines,,,
,,,Of other vehicle engines:,,,
8409.91.21,,,Short block assemblies,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01G,No.,New,,,
,,,Used:,,,
,11D,No.,Reconditioned,,,
,19K,No.,Other,,,
8409.91.29,,,Other,Free,Free,
,01H,.,Carburettors,,,
,09C,.,Governors,,,
,19L,.,Other,,,
8409.91.39,,,Other,Free,Free,
,01C,.,Carburettors,,,
,09J,.,Governors,,,
,19F,.,Other,,,
,,,"Parts suitable for use solely or principally with the, etc.continued",,,
,,,Othercontinued,,,
8409.99,,,Other:,,,
8409.99.01,,,"Pistons, cylinder sleeves, piston rings, valves and valve seat inserts,",,,
,,,mufflers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01B,No.,Mufflers,,,
,09H,No.,Cylinder sleeves,,,
,,,Engine valves:,,,
,11K,No.,Inlet,,,
,19E,No.,Exhaust,,,
,21G,No.,Piston castings in the rough,,,
,,,Other:,,,
,,,For use in cylinders having a nominal bore not exceeding,,,
,,,140 mm:,,,
,31D,No.,Piston rings,,,
,39K,No.,Pistons (without rings),,,
,41A,No.,Piston assemblies,,,
,49G,.,Other,,,
,,,Other:,,,
,51J,No.,Piston rings,,,
,59D,No.,Pistons (without rings),,,
,61F,No.,Piston assemblies,,,
,69A,.,Other,,,
,,,Other parts:,,,
8409.99.11,,,Of cycle and tractor engines,Free,Free,
,01H,.,Of cycle engines,,,
,09C,.,Of tractor engines,,,
,,,Of other vehicle engines:,,,
8409.99.21,,,Short block assemblies,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01C,No.,New,,,
,,,Used:,,,
,11L,No.,Reconditioned,,,
,19F,No.,Other,,,
8409.99.29,,, Other,Free,Free,
,01D,.,Governors,,,
,09K,.,Other,,,
8409.99.39,,,Other,Free,Free,
,01K,.,Governors,,,
,09E,.,Other,,,
84.1,,,"Hydraulic turbines, water wheels, and regulators therefor:",,,
,,,Hydraulic turbines and water wheels:,,,
8410.11.00,00F,No.,"Of a power not exceeding 1,000 kW",Free,Free,
8410.12.00,00L,No.,"Of a power exceeding 1,000 kW but not exceeding 10,000 kW",Free,Free,
8410.13.00,00E,No.,"Of a power exceeding 10,000 kW",Free,Free,
8410.90.00,00L,.,"Parts, including regulators",Free,Free,
84.11,,,"Turbo-jets, turbo-propellers and other gas turbines:",,,
,,,Turbo-jets:,,,
8411.11.00,00D,No.,Of a thrust not exceeding 25 kN,Free,Free,
8411.12.00,00J,No.,Of a thrust exceeding 25 kN,Free,Free,
,,,Turbo-propellers:,,,
8411.21.00,00H,No.,"Of a power not exceeding 1,100 kW",Free,Free,
8411.22.00,00B,No.,"Of a power exceeding 1,100 kW",Free,Free,
,,,Other gas turbines:,,,
8411.81.00,00K,No.,"Of a power not exceeding 5,000 kW",Free,Free,
8411.82.00,00D,No.,"Of a power exceeding 5,000 kW",Free,Free,
,,,Parts:,,,
8411.91.00,00C,.,Of turbo-jets or turbo-propellers,Free,Free,
8411.99.00,00K,.,Other,Free,Free,
84.12,,,Other engines and motors:,,,
8412.10.00,00H,No.,Reaction engines other than turbo-jets,Free,Free,
,,,Hydraulic power engines and motors:,,,
8412.21.00,00F,No.,Linear acting (cylinders),5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8412.29,,,Other:,,,
8412.29.10,00H,No.,Marine jet propulsion units,5,Free,
,,,,,*See Below,
,,,,,CA Free,
8412.29.90,00A,No.,Other,Free,Free,
,,,Pneumatic power engines and motors:,,,
8412.31.00,00K,No.,Linear acting (cylinders),5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8412.39.00,00F,No.,Other,Free,Free,
8412.80.00,00C,No.,Other,Free,Free,
8412.9,,,Parts:,,,
8412.90.01,00C,.,Of hydraulic and pneumatic cylinders,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8412.90.09,00D,.,Of marine jet propulsion units,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8412.90.19,,,Other,Free,Free,
,01H,.,Of steam or of other vapour power units,,,
,09C,.,Of hydraulic power engines and motors,,,
,19L,.,Other,,,
84.13,,,"Pumps for liquids, whether or not fitted with a measuring device;",,,
,,,liquid elevators:,,,
,,,Pumps fitted or designed to be fitted with a measuring device:,,,
8413.11.00,00L,No.,"Pumps for dispensing fuel or lubricants, of the type used in",,,
,,,filling-stations or in garages,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8413.19.00,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01E,No.,Reciprocating,,,
,09L,No.,Centrifugal,,,
,11B,No.,Rotary,,,
,19H,No.,Other,,,
8413.20.00,00K,No.,"Hand pumps, other than those of subheading 8413.11 or 8413.19",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8413.3,,,"Fuel, lubricating or cooling medium pumps for internal combustion",,,
,,,piston engines:,,,
8413.30.01,,,Lubricating oil pumps,Free,Free,
,01H,No.,Reciprocating,,,
,09C,No.,Centrifugal,,,
,11E,No.,Rotary,,,
,19L,No.,Other,,,
,,,"Pumps for liquids, whether or not fitted, etc.continued",,,
,,,"Fuel, lubricating or cooling medium pumps for internal, etc.continued",,,
8413.30.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01J,No.,Reciprocating,,,
,09D,No.,Centrifugal,,,
,11F,No.,Rotary,,,
,19A,No.,Other,,,
8413.40.00,,,Concrete pumps,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,01E,No.,Reciprocating,,,
,09L,No.,Other,,,
8413.5,,,Other reciprocating positive displacement pumps:,,,
8413.50.01,00G,No.,Submersible pumps,Free,Free,
8413.50.09,00H,No.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
8413.6,,,Other rotary positive displacement pumps:,,,
8413.60.01,00L,No.,Submersible pumps,Free,Free,
8413.60.09,00A,No.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8413.7,,,Other centrifugal pumps:,,,
8413.70.01,00D,No.,Submersible pumps,Free,Free,
8413.70.09,00E,No.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Other pumps; liquid elevators:,,,
8413.81,,,Pumps:,,,
8413.81.01,00B,No.,Hydraulic steering pumps specially suited for motor vehicles,Free,Free,
8413.81.09,00C,No.,Submersible pumps,Free,Free,
8413.81.19,00J,No.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
8413.82.00,00L,No.,Liquid elevators,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,Parts:,,,
8413.91,,,Of pumps:,,,
,,,"Of fuel, lubricating or cooling medium pumps for internal",,,
,,,combustion piston engines:,,,
8413.91.01,00F,.,Of lubricating oil pumps,Free,Free,
8413.91.09,00G,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
8413.91.11,00A,.,Of submersible pumps,Free,Free,
,,,"Pumps for liquids, whether or not fitted, etc.continued",,,
,,,Partscontinued,,,
,,,Of pumpscontinued,,,
,,,Other:,,,
8413.91.21,00G,.,Of hydraulic steering pumps specially suited for motor vehicles,Free,Free,
8413.91.29,00H,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8413.92.00,00D,.,Of liquid elevators,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
84.14,,,"Air or vacuum pumps, air or other gas compressors and fans;",,,
,,,"ventilating or recycling hoods incorporating a fan, whether or not",,,
,,,"fitted with filters; gas-tight biological safety cabinets, whether or not",,,
,,,fitted with filters:,,,
8414.1,,,Vacuum pumps:,,,
8414.10.01,00L,No.,Suited for use with motor vehicles,Free,Free,
8414.10.09,00A,No.,Other,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8414.20.00,00H,.,Hand- or foot-operated air pumps,Free,Free,
8414.30.00,,,Compressors of a kind used in refrigerating equipment,Free,Free,
,01K,No.,Of a kind designed to use ammonia gas as the refrigerant,,,
,09E,No.,Other,,,
8414.40.00,00E,.,Air compressors mounted on a wheeled chassis for towing,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,Fans:,,,
8414.51.00,00C,.,"Table, floor, wall, window, ceiling or roof fans, with a self-contained",,,
,,,electric motor of an output not exceeding 125 W,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8414.59,,,Other:,,,
8414.59.01,00F,.,Fans for vehicle engines,Free,Free,
8414.59.05,00A,.,Fans of a kind used solely or principally for cooling,,,
,,,"microprocessors, telecommunication apparatus, automatic",,,
,,,data processing machines or units of automatic data,,,
,,,processing machines,Free,Free,
8414.59.09,10D,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
8414.60.00,10K,No.,Hoods having a maximum horizontal side not exceeding 120 cm,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8414.7,,,Gas-tight biological safety cabinets:,,,
8414.70.01,00B,No.,Cabinets having a maximum horizontal side not exceeding 120 cm,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8414.70.05,00H,No.,Other,Free,Free,
,,,"Air or vacuum pumps, air or other gas compressors, etc.continued",,,
8414.8,,,Other:,,,
8414.80.01,00F,.,Compressor outfits,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Other compressors:,,,
8414.80.11,,,Free-piston generators for gas turbines; compressors for mounting,,,
,,,in motor vehicles,Free,Free,
,01K,.,Free-piston generators for gas turbines,,,
,09E,.,Compressors for mounting in motor vehicles,,,
8414.80.19,00B,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,CPT Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
8414.80.29,10E,.,Other,Free,Free,
8414.9,,,Parts:,,,
,,,Of compressor outfits:,,,
8414.90.01,00K,.,Mounted on a wheeled chassis,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 5,
,,,,,1/2025 5,
8414.90.09,00L,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Of other compressors:,,,
8414.90.11,00E,.,Of a kind used in refrigerating equipment,Free,Free,
8414.90.19,00F,.,Of free-piston generators for gas turbines; of compressors for,,,
,,,mounting in motor vehicles,Free,Free,
8414.90.29,00A,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Of vacuum pumps:,,,
8414.90.31,00F,.,Suited for use with motor vehicles,Free,Free,
8414.90.39,00G,., Other,5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,Of fans and hoods:,,,
8414.90.41,00A,.,Of fans for vehicle engines,Free,Free,
8414.90.49,10K,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Of gas-tight biological safety cabinets,,,
8414.90.51,00G,., Parts of cabinets having a maximum horizontal side not exceeding,,,
,,,120 cm,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
8414.90.55,00B,.,Other,Free,Free,
8414.90.59,10E,.,Other,Free,Free,
84.15,,,"Air conditioning machines, comprising a motor-driven fan and",,,
,,,"elements for changing the temperature and humidity, including",,,
,,,those machines in which the humidity cannot be separately regulated:,,,
8415.10.10,,,"Of a kind designed to be fixed to a window, wall, ceiling or floor,",,,
,,,"self-contained or ""split-system""",5,Free,
,,,,,*See Below,
,,,,,CA 1,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,Containing hydrofluorocarbons:,,,
