NCM,DESCRICAO,ALIçQUOTA(%),,,,
3912.90.90,Outros,"3,25",,,,
,,,,,,
39.13,"Pol≠meros naturais (°cido alg≠nico, por exemplo) e pol≠meros naturais modificados(por exemplo, prote≠nas endurecidas, derivados qu≠micos da borracha natural), noespecificados nem compreendidos noutras posiµes, em formas prim°rias.",,,,,
3913.10.00,"- Åcido alg≠nico, seus sais e seus steres","3,25",,,,
3913.9, Outros,,,,,
3913.90.1,Derivados qu≠micos da borracha natural,,,,,
3913.90.11,"Borracha clorada ou cloridratada, nas formas previstas na Nota 6 b) deste Cap≠tulo","3,25",,,,
3913.90.12,"Borracha clorada, noutras formas","3,25",,,,
3913.90.19,Outros,"3,25",,,,
3913.90.20,Goma xantana,"3,25",,,,
3913.90.30,Dextrana,"3,25",,,,
3913.90.40,Prote≠nas endurecidas,"3,25",,,,
3913.90.50,"Quitosan (Chitosan), seus sais ou seus derivados","3,25",,,,
3913.90.60,Sulfato de condroitina,"3,25",,,,
3913.90.90,Outros,"3,25",,,,
,,,,,,
3914,"Permutadores de ≠ons † base de pol≠meros das posiµes 39.01 a 39.13, em formasprim°rias.",,,,,
3914.00.1,De poliestireno e seus copol≠meros,,,,,
3914.00.11,"De copol≠meros de estireno-divinilbenzeno, sulfonados","3,25",,,,
3914.00.19,Outros,"3,25",,,,
3914.00.90,Outros,"3,25",,,,
,,,,,,
,"II.- DESPERDçCIOS, RESçDUOS E APARAS; PRODUTOS INTERMEDIÅRIOS; OBRAS",,,,,
,,,,,,
39.15,"Desperd≠cios, res≠duos e aparas, de pl°stico.",,,,,
3915.10.00, de Pol≠meros de Etileno,0,,,,
3915.20.00, de Pol≠meros de Estireno,0,,,,
3915.30.00, de Pol≠meros de Cloreto de vinila,0,,,,
3915.90.00, de outro pl°stico,0,,,,
,,,,,,
39.16,"Monofilamentos cuja maior dimenso da seo transversal seja superior a 1 mm(monofios),varas,bastµeseperfis,mesmotrabalhados†superf≠cie,masnotrabalhados de outro modo, de pl°stico.",,,,,
3916.10.00, de Pol≠meros de Etileno,"6,5",,,,
3916.20.00, de Pol≠meros de Cloreto de vinila,"6,5",,,,
,Ex 01 - Forros de poli(cloreto de vinila) (PVC) utilizados na construo civil,"3,25",,,,
3916.9, de outro pl°stico,,,,,
3916.90.10,Monofilamentos,"6,5",,,,
3916.90.90,Outros,"6,5",,,,
,,,,,,
39.17,"Tuboseseusacess≥rios(porexemplo,juntas,cotovelos,flanges,uniµes),depl°stico.",,,,,
3917.1, Tripas artificiais de prote≠nas endurecidas ou de pl°stico celul≥sico,,,,,
3917.10.10,De prote≠nas endurecidas,"3,25",,,,
3917.10.2,De pl°stico celul≥sico,,,,,
3917.10.21,"Fibrosas, de celulose regenerada, de di¢metro igual ou superior a 150 mm","3,25",,,,
3917.10.29,Outras,"3,25",,,,
3917.2,- Tubos r≠gidos:,,,,,
3917.21.00,de Pol≠meros de Etileno,0,,,,
3917.22, de Pol≠meros de propileno,,,,,
3917.22.10,De seo transversal interna redonda de di¢metro inferior a 6 mm e externa hexagonal,0,,,,
3917.22.90,Outros,0,,,,
3917.23.00,de Pol≠meros de Cloreto de vinila,0,,,,
3917.29.00,de outro pl°stico,0,,,,
3917.3,- Outros tubos:,,,,,
3917.31.00,"Tubos flex≠veis podendo suportar uma presso de, pelo menos, 27,6 MPa","3,25",,,,
3917.32,"Outros, no reforados com outras matrias, nem associados de outra forma com outrasmatrias, sem acess≥rios",,,,,
3917.32.10,De copol≠meros de etileno,"3,25",,,,
3917.32.2,De polipropileno,,,,,
3917.32.21,"Tubos capilares, semiperme°veis, pr≥prios para hemodi°lise ou para oxigenaosangu≠nea",0,,,,
3917.32.29,Outros,"3,25",,,,
3917.32.30,De poli(tereftalato de etileno),"3,25",,,,
3917.32.40,De silicones,"3,25",,,,
3917.32.5,De celulose regenerada,,,,,
3917.32.51,"Tubos capilares, semiperme°veis, pr≥prios para hemodi°lise","3,25",,,,
3917.32.59,Outros,"3,25",,,,
3917.32.90,Outros,"3,25",,,,
3917.33.00,"Outros, no reforados com outras matrias, nem associados de outra forma com outrasmatrias, com acess≥rios","3,25",,,,
3917.39.00,Outros,"3,25",,,,
3917.4, Acess≥rios,,,,,
3917.40.10,Do tipo utilizado em linhas de sangue para hemodi°lise,0,,,,
3917.40.90,Outros,0,,,,
,,,,,,
39.18,"Revestimentos para pisos (pavimentos), de pl°stico, mesmo autoadesivos, em rolosou em forma de ladrilhos ou de placas (lajes); revestimentos para paredes ou paratetos, de pl°stico, definidos na Nota 9 do presente Cap≠tulo.",,,,,
3918.10.00, de Pol≠meros de Cloreto de vinila,0,,,,
3918.90.00, de outro pl°stico,"3,25",,,,
,,,,,,
39.19,"Chapas,folhas,tiras,fitas,pel≠culaseoutrasformasplanas,autoadesivas,depl°stico, mesmo em rolos.",,,,,
3919.1,- Em rolos de largura no superior a 20 cm,,,,,
3919.10.10,De polipropileno,"9,75",,,,
,"Ex 01 - Fitas autoadesivas, em rolos",15,,,,
3919.10.20,De poli(cloreto de vinila),"11,25",,,,
,"Ex 01 - Fitas autoadesivas, em rolos",15,,,,
3919.10.90,Outras,"9,75",,,,
3919.9, Outras,,,,,
3919.90.10,De polipropileno,"9,75",,,,
3919.90.20,De poli(cloreto de vinila),"9,75",,,,
3919.90.90,Outras,"9,75",,,,
,Ex 01 ‚Äì Pel≠culas autoadesivas,15,,,,
,,,,,,
39.2,"Outraschapas,folhas,pel≠culas,tirasel¢minas,depl°sticonoalveolar,noreforadas nem estratificadas, sem suporte, nem associadas de forma semelhante aoutras matrias.",,,,,
3920.1, de Pol≠meros de Etileno,,,,,
3920.10.10,"De densidade igual ou superior a 0,94, espessura inferior ou igual a 19 micr¥metros(m≠crons), em rolos de largura inferior ou igual a 66 cm","9,75",,,,
3920.10.9,Outras,,,,,
3920.10.91,"De densidade inferior a 0,94, com ≥leo de parafina e carga (s≠lica e negro de fumo),apresentando nervuras paralelas entre si, com uma resist™ncia eltrica igual ousuperior a 0,030 ohms.cm2, mas inferior ou igual a 0,120 ohms.cm2, em rolos, do tipoutilizado para a fabricao de separadores de acumuladores eltricos","9,75",,,,
3920.10.99,Outras,15,,,,
3920.2, de Pol≠meros de propileno,,,,,
3920.20.1,Biaxialmente orientados,,,,,
3920.20.11,"De largura inferior ou igual a 12,5 cm e espessura inferior ou igual a 10 micr¥metros(m≠crons), metalizadas","9,75",,,,
3920.20.12,"De largura inferior ou igual a 1 m e espessura inferior ou igual a 13 micr¥metros(m≠crons), com uma ou ambas as faces rugosas de rugosidade relativa (relao entrea espessura mdia e a m°xima) igual ou superior a 6 %, de rigidez dieltrica igual ousuperior a 500 V/micr¥metro (Norma ASTM D 3755-97), em rolos","9,75",,,,
3920.20.19,Outras,"9,75",,,,
,"Ex 01 - Substrato de polipropileno biaxialmente orientado, recoberto em ambas asfaces da folha por camadas de tinta opacificante que propiciam receber as impressµesofsete seco, calcogr°fica, tipogr°fica e vernizes de proteo com cura a ultravioleta",0,,,,
3920.20.90,Outras,"9,75",,,,
3920.30.00, de Pol≠meros de Estireno,15,,,,
,Ex 01 - Laminados r≠gidos utilizados para revestimento de m≥veis,"3,25",,,,
3920.4,- De pol≠meros de cloreto de vinila:,,,,,
3920.43,"Que contenham, em peso, pelo menos 6 % de plastificantes",,,,,
3920.43.10,"De poli(cloreto de vinila), transparentes, termocontr°teis, de espessura inferior ou iguala 250 micr¥metros (m≠crons)","9,75",,,,
3920.43.90,Outras,"9,75",,,,
3920.49.00,Outras,"9,75",,,,
,"Ex 01 - Laminados r≠gidos de poli(cloreto de vinila) (PVC) utilizados para revestimentode m≥veis","3,25",,,,
3920.5,- De pol≠meros acr≠licos:,,,,,
3920.51.00,de poli(metacrilato de metila),"9,75",,,,
3920.59.00,Outras,"9,75",,,,
3920.6,"- De policarbonatos, de resinas alqu≠dicas, de polisteres al≠licos ou de outros polisteres:",,,,,
3920.61.00,de Policarbonatos,"9,75",,,,
3920.62,de poli(Tereftalato de Etileno),,,,,
3920.62.1,De espessura inferior ou igual a 40 micr¥metros (m≠crons),,,,,
3920.62.11,De espessura inferior a 5 micr¥metros (m≠crons),"9,75",,,,
3920.62.19,Outras,"9,75",,,,
3920.62.9,Outras,,,,,
3920.62.91,"Com largura superior a 12 cm, sem qualquer trabalho † superf≠cie","9,75",,,,
3920.62.99,Outras,"9,75",,,,
,Ex 01 - Laminados de poli(tereftalato de etileno) (PET) para revestimento,"3,25",,,,
3920.63.00,De polisteres no saturados,"9,75",,,,
3920.69.00,De outros polisteres,"9,75",,,,
3920.7,- De celulose ou dos seus derivados qu≠micos:,,,,,
3920.71.00,de celulose regenerada,"9,75",,,,
3920.73,de Acetatos de celulose,,,,,
3920.73.10,"De espessura inferior ou igual a 0,75 mm","9,75",,,,
3920.73.90,Outras,"9,75",,,,
3920.79,de Outros derivados da celulose,,,,,
3920.79.10,"De fibra vulcanizada, de espessura inferior ou igual a 1 mm","9,75",,,,
3920.79.90,Outros,"9,75",,,,
3920.9,- De outro pl°stico:,,,,,
3920.91.00,de poli(butiral de vinila),"9,75",,,,
3920.92.00,de poliamidas,"9,75",,,,
3920.93.00,de Resinas am≠nicas,"9,75",,,,
3920.94.00,de Resinas fen≥licas,"9,75",,,,
3920.99,de outro pl°stico,,,,,
3920.99.10,De silicone,"9,75",,,,
3920.99.20,De poli(°lcool vin≠lico),"9,75",,,,
3920.99.30,De pol≠meros de fluoreto de vinila,"9,75",,,,
3920.99.40,De poliimida,"9,75",,,,
3920.99.50,De poli(clorotrifluoretileno),"9,75",,,,
3920.99.90,Outras,"9,75",,,,
,,,,,,
39.21,"Outras chapas, folhas, pel≠culas, tiras e l¢minas, de pl°stico.",,,,,
3921.1,- Produtos alveolares:,,,,,
3921.11.00,de Pol≠meros de Estireno,"9,75",,,,
3921.12.00,de Pol≠meros de Cloreto de vinila,"9,75",,,,
3921.13,de Poliuretanos,,,,,
3921.13.10,"Com base polister, de clulas abertas, com um nmero de poros por dec≠metro linearigual ou superior a 24 e inferior ou igual a 157 (6 a 40 poros por polegada linear), comresist™ncia † compresso 50 % (RC50) igual ou superior a 3,0 kPa e inferior ou igual a6,0 kPa","9,75",,,,
3921.13.90,Outras,"9,75",,,,
3921.14.00,de celulose regenerada,"9,75",,,,
3921.19.00,de outro pl°stico,"9,75",,,,
3921.9, Outras,,,,,
3921.90.1,"Estratificadas, reforadas ou com suporte",,,,,
3921.90.11,De resina melamina-formalde≠do,"3,25",,,,
3921.90.12,"Depolietileno,comreforodenapasdefibrasdepolietilenoparalelizadas,superpostas entre si em ¢ngulo de 90o e impregnadas com resinas","9,75",,,,
3921.90.13,"Decopol≠merosdetetrafluoretilenoreforadascomtecidodefibrasdepolitetrafluoretileno, do tipo utilizado como membranas semiperme°veis em clulasde eletr≥lise","9,75",,,,
3921.90.19,Outras,"9,75",,,,
3921.90.20,"De poli(tereftalato de etileno), com camada antiest°tica † base de gelatina ou de l°texem ambas as faces, mesmo com halogenetos de pot°ssio","9,75",,,,
3921.90.90,Outras,"9,75",,,,
,,,,,,
39.22,"Banheiras, boxes para chuveiros (polibs*), pias, lavat≥rios, bids, sanit°rios e seusassentos e tampas, caixas de descarga (autoclismos*) e artigos semelhantes parausos sanit°rios ou higi™nicos, de pl°stico.",,,,,
3922.10.00,"- Banheiras, boxes para chuveiros (polibs*), pias e lavat≥rios",0,,,,
3922.20.00," Assentos e tampas, de sanit°rios",0,,,,
3922.90.00, Outros,0,,,,
,,,,,,
39.23,"Artigos de transporte ou de embalagem, de pl°stico; rolhas, tampas, c°psulas eoutros dispositivos para fechar recipientes, de pl°stico.",,,,,
3923.1," caixas, caixotes, engradados e artigos semelhantes",,,,,
3923.10.10,"Estojos de pl°stico, do tipo utilizado para acondicionar discos para sistemas de leiturapor raio laser","9,75",,,,
3923.10.90,Outros,"9,75",,,,
3923.2,"- Sacos de quaisquer dimensµes, bolsas e cartuchos:",,,,,
3923.21,de Pol≠meros de Etileno,,,,,
3923.21.10,De capacidade inferior ou igual a 1.000 cm3,"9,75",,,,
3923.21.90,Outros,"9,75",,,,
3923.29,de outro pl°stico,,,,,
3923.29.10,De capacidade inferior ou igual a 1.000 cm3,"9,75",,,,
3923.29.90,Outros,15,,,,
3923.3," Garrafµes, garrafas, frascos e artigos semelhantes",,,,,
3923.30.10,Recipientes para g°s liquefeito de petr≥leo (GLP),"9,75",,,,
3923.30.90,Outros,"9,75",,,,
,"Ex 01 - Esboos de garrafas de pl°stico, fechados em uma extremidade e aberta naoutra, munida de uma rosca sobre a qual ir° adaptar-se a uma tampa roscada, devendoa parte abaixo da rosca ser transformada, posteriormente, para que seja obtida adimenso e forma desejadas",0,,,,
3923.40.00," Bobinas, carretis, canelas e suportes semelhantes","6,5",,,,
3923.50.00,"- Rolhas, tampas, C°psulas e Outros dispositivos para fechar recipientes",5,,,,
3923.9, Outros,,,,,
3923.90.10,"Paletes simples, paletes-caixas e outros estrados para carga; taipais de paletes",15,,,,
3923.90.90,Outros,15,,,,
,,,,,,
39.24,"Servios de mesa, artigos de cozinha, outros artigos de uso domstico e artigos dehigiene ou de toucador, de pl°stico.",,,,,
3924.10.00, Servios de mesa e Outros utens≠lios de mesa ou de cozinha,"6,5",,,,
3924.90.00, Outros,"6,5",,,,
,,,,,,
39.25,"Artigos para apetrechamento de construµes, de pl°stico, no especificados nemcompreendidos noutras posiµes.",,,,,
3925.10.00,"- Reservat≥rios, cisternas, cubas e recipientes an°logos, de capacidade superior a 300 l",0,,,,
3925.20.00," Portas, janelas e seus caixilhos, alizares e soleiras",0,,,,
3925.30.00," Postigos, estores (incluindo as venezianas) e artigos semelhantes, e suas partes","3,25",,,,
3925.9, Outros,,,,,
3925.90.10,De poliestireno expandido (EPS),"3,25",,,,
3925.90.90,Outros,"3,25",,,,
,,,,,,
39.26,Outras obras de pl°stico e obras de outras matrias das posiµes 39.01 a 39.14.,,,,,
3926.10.00, artigos de escrit≥rio e artigos escolares,"9,75",,,,
3926.20.00," Vestu°rio e seus Acess≥rios (incluindo as luvas, mitenes e semelhantes)","3,25",,,,
,Ex 01 - Cintos,"6,5",,,,
3926.30.00," Guarniµes para m≥veis, carroarias ou semelhantes","3,25",,,,
3926.40.00, Estatuetas e Outros objetos de ornamentao,13,,,,
3926.9, Outras,,,,,
3926.90.10,Arruelas (anilhas),"6,5",,,,
3926.90.2,Correias de transmisso e correias transportadoras,,,,,
3926.90.21,De transmisso,"6,5",,,,
3926.90.22,Transportadoras,"6,5",,,,
3926.90.30,Bolsas para uso em medicina (hemodi°lise e usos semelhantes),0,,,,
3926.90.40,Artigos de laborat≥rio ou de farm°cia,"6,5",,,,
,Ex 01 - Exclusivamente de laborat≥rio de an°lises cl≠nicas,0,,,,
3926.90.50,"Acess≥riosdotipoutilizadoemlinhasdesangueparahemodi°lise,taiscomo:obturadores, incluindo os regul°veis (clamps), clipes e semelhantes","9,75",,,,
3926.90.6,Anis de seo transversal circular (O-rings),,,,,
3926.90.61,De tetrafluoretileno e ter perfluorometilvinil,"9,75",,,,
3926.90.69,Outros,"9,75",,,,
3926.90.90,Outras,"9,75",,,,
,Ex 01 - Forma para fabricao de calados,0,,,,
,Ex 02 - M°scara de proteo,0,,,,
,"Ex 03 - Revestimento para canais de irrigao, de PVC flex≠vel ou semelhante, comilhoses para fixao no solo","5,2",,,,
,"Ex 04 - Cinto, colete, boia e equipamento semelhante de salvamento","6,5",,,,
,Ex 05 - Brincos e pulseiras para identificao de animais,"6,5",,,,
,"Ex 06 - Cabos para ferramentas, utens≠lios e aparelhos","6,5",,,,
,Ex 07 - Parafusos e porcas,"6,5",,,,
,"Ex 08 - Recipiente com serpentina e dep≥sito para gelo, pr≥prio para gelar bebidas",13,,,,
,Ex 09 - Leques e ventarolas,13,,,,
,"Ex 10 - Bolsas para coleta de sangue e seus componentes e bolsas de di°lise peritoneal(infuso e drenagem)",0,,,,
40.01,"Borracha natural, balata, guta-percha, guaile, chicle e gomas naturais an°logas, emformas prim°rias ou em chapas, folhas ou tiras.",,,,,
4001.10.00," L°tex de borracha natural, mesmo pr-vulcanizado",0,,,,
4001.2,- Borracha natural noutras formas:,,,,,
4001.21.00,folhas fumadas,0,,,,
4001.22.00,borracha natural tecnicamente especificada (TSNR),0,,,,
4001.29,Outras,,,,,
4001.29.10,Crepadas,0,,,,
4001.29.20,Granuladas ou prensadas,0,,,,
4001.29.90,Outras,0,,,,
4001.30.00," Balata, guta-percha, guaile, chicle e Gomas naturais an°logas",0,,,,
,,,,,,
40.02,"Borracha sinttica e borracha artificial derivada dos ≥leos, em formas prim°rias ouem chapas, folhas ou tiras; misturas dos produtos da posio 40.01 com produtos dapresente posio, em formas prim°rias ou em chapas, folhas ou tiras.",,,,,
4002.1,"- Borrachadeestireno-butadieno(SBR);borrachadeestireno-butadienocarboxilada(XSBR):",,,,,
4002.11,L°tex,,,,,
4002.11.10,De estireno-butadieno (SBR),"3,25",,,,
4002.11.20,De estireno-butadieno carboxilada (XSBR),"3,25",,,,
4002.19,Outras,,,,,
4002.19.1,De estireno-butadieno (SBR),,,,,
4002.19.11,"Em chapas, folhas ou tiras","3,25",,,,
4002.19.12,"Grau aliment≠cio de acordo com o estabelecido pelo Food Chemical Codex, emformas prim°rias","3,25",,,,
4002.19.19,Outras,"3,25",,,,
4002.19.20,De estireno-butadieno carboxilada (XSBR),"3,25",,,,
4002.2, borracha de butadieno (BR),,,,,
4002.20.10,ìleo,"3,25",,,,
4002.20.9,Outras,,,,,
4002.20.91,"1,2- polibutadieno sindiot°ctico","3,25",,,,
4002.20.99,Outras,"3,25",,,,
4002.3,"- Borracha de isobuteno-isopreno (butila) (IIR); borracha de isobuteno-isopreno halogenada(CIIR ou BIIR):",,,,,
4002.31.00,borracha de isobuteno-isopreno (butila) (IIR),"3,25",,,,
4002.39.00,Outras,"3,25",,,,
4002.4,- Borracha de cloropreno (clorobutadieno) (CR):,,,,,
4002.41.00,L°tex,"3,25",,,,
4002.49.00,Outras,"3,25",,,,
4002.5,- Borracha de acrilonitrila-butadieno (NBR):,,,,,
4002.51.00,L°tex,"3,25",,,,
4002.59.00,Outras,"3,25",,,,
4002.60.00, borracha de isopreno (IR),"3,25",,,,
4002.70.00, borracha de Etileno-propileno-dieno no conjugado (EPDM),"3,25",,,,
4002.80.00,- Misturas dos produtos da posio 40.01 com produtos da presente posio,"3,25",,,,
4002.9,- Outras:,,,,,
4002.91.00,L°tex,"3,25",,,,
4002.99,Outras,,,,,
4002.99.10,Borracha estireno-isopreno-estireno,"3,25",,,,
4002.99.20,Borracha etileno-propileno-dieno no conjugado-propileno (EPDM-propileno),"3,25",,,,
4002.99.30,Borracha acrilonitrila-butadieno hidrogenada,"3,25",,,,
4002.99.90,Outras,"3,25",,,,
,,,,,,
4003.00.00,"Borracha regenerada, em formas prim°rias ou em chapas, folhas ou tiras.","3,25",,,,
,,,,,,
4004.00.00,"Desperd≠cios, res≠duos e aparas, de borracha no endurecida, mesmo reduzidos a p≥ou a gr¢nulos.",NT,,,,
,,,,,,
40.05,"Borracha misturada, no vulcanizada, em formas prim°rias ou em chapas, folhas outiras.",,,,,
4005.1, borracha adicionada de negro de fumo ou de s≠lica,,,,,
4005.10.10,"Borrachaetileno-propileno-dienonoconjugado-propileno(EPDM-propileno),coms≠lica e plastificante, em gr¢nulos","3,25",,,,
4005.10.90,Outras,"3,25",,,,
4005.20.00,"- Soluµes; dispersµes, exceto as da subposio 4005.10","3,25",,,,
4005.9,- Outras:,,,,,
4005.91,"chapas, folhas e tiras",,,,,
4005.91.10,Preparaµes base para a fabricao de gomas de mascar,"3,25",,,,
4005.91.90,Outras,"3,25",,,,
4005.99,Outras,,,,,
4005.99.10,Preparaµes base para a fabricao de gomas de mascar,"3,25",,,,
4005.99.90,Outras,"3,25",,,,
,,,,,,
40.06,"Outras formas (por exemplo, varetas, tubos, perfis) e artigos (por exemplo, discos,arruelas (anilhas)), de borracha no vulcanizada.",,,,,
4006.10.00, Perfis para recauchutagem,"3,25",,,,
4006.90.00, Outros,"3,25",,,,
,,,,,,
4007,"Fios e cordas, de borracha vulcanizada.",,,,,
4007.00.1,Fios,,,,,
4007.00.11,"Recobertos com silicone, mesmo paralelizados",0,,,,
4007.00.19,Outros,0,,,,
4007.00.20,Cordas,0,,,,
,,,,,,
40.08,"Chapas, folhas, tiras, varetas e perfis, de borracha vulcanizada no endurecida.",,,,,
4008.1,- De borracha alveolar:,,,,,
4008.11.00,"chapas, folhas e tiras","6,5",,,,
4008.19.00,Outros,"6,5",,,,
4008.2,- De borracha no alveolar:,,,,,
4008.21.00,"chapas, folhas e tiras","6,5",,,,
,"Ex 01 - Remendo e mancho, com superf≠cie recoberta de produtos autovulcanizantesa frio e protegidos por papel, pl°stico ou outra matria","3,25",,,,
4008.29.00,Outros,"6,5",,,,
,,,,,,
40.09,"Tubos de borracha vulcanizada no endurecida, mesmo providos dos respectivosacess≥rios (por exemplo, juntas, cotovelos, flanges, uniµes).",,,,,
4009.1,- No reforados com outras matrias nem associados de outra forma com outras matrias:,,,,,
4009.11.00,Sem Acess≥rios,"6,5",,,,
4009.12,Com Acess≥rios,,,,,
4009.12.10,"Com uma presso de ruptura igual ou superior a 17,3 MPa","6,5",,,,
4009.12.90,Outros,"6,5",,,,
4009.2,- Reforados apenas com metal ou associados de outra forma apenas com metal:,,,,,
4009.21,Sem Acess≥rios,,,,,
4009.21.10,"Com uma presso de ruptura igual ou superior a 17,3 MPa","6,5",,,,
4009.21.90,Outros,"6,5",,,,
4009.22,Com Acess≥rios,,,,,
4009.22.10,"Com uma presso de ruptura igual ou superior a 17,3 MPa","6,5",,,,
4009.22.90,Outros,"6,5",,,,
4009.3,"- Reforados apenas com matrias t™xteis ou associados de outra forma apenas commatrias t™xteis:",,,,,
4009.31.00,Sem Acess≥rios,"6,5",,,,
4009.32,Com Acess≥rios,,,,,
4009.32.10,"Com uma presso de ruptura igual ou superior a 17,3 MPa","6,5",,,,
4009.32.90,Outros,"6,5",,,,
4009.4,- Reforados com outras matrias ou associados de outra forma com outras matrias:,,,,,
4009.41.00,Sem Acess≥rios,"6,5",,,,
4009.42,Com Acess≥rios,,,,,
4009.42.10,"Com uma presso de ruptura igual ou superior a 17,3 MPa","6,5",,,,
4009.42.90,Outros,"6,5",,,,
,,,,,,
40.1,"Correias transportadoras ou de transmisso, de borracha vulcanizada.",,,,,
4010.1,- Correias transportadoras:,,,,,
4010.11.00,Reforadas apenas Com metal,"6,5",,,,
4010.12.00,Reforadas apenas com matrias t™xteis,"6,5",,,,
4010.19.00,Outras,"6,5",,,,
4010.3,- Correias de transmisso:,,,,,
4010.31.00,"Correiasdetransmissosemfim,deseotrapezoidal,estriadas,comumacircunfer™ncia externa superior a 60 cm, mas no superior a 180 cm","6,5",,,,
4010.32.00,"Correiasdetransmissosemfim,deseotrapezoidal,noestriadas,comumacircunfer™ncia externa superior a 60 cm, mas no superior a 180 cm","6,5",,,,
4010.33.00,"Correiasdetransmissosemfim,deseotrapezoidal,estriadas,comumacircunfer™ncia externa superior a 180 cm, mas no superior a 240 cm","6,5",,,,
4010.34.00,"Correiasdetransmissosemfim,deseotrapezoidal,noestriadas,comumacircunfer™ncia externa superior a 180 cm, mas no superior a 240 cm","6,5",,,,
4010.35.00,"Correias de transmisso sem fim, s≠ncronas, com uma circunfer™ncia externa superior a60 cm, mas no superior a 150 cm","6,5",,,,
4010.36.00,"Correias de transmisso sem fim, s≠ncronas, com uma circunfer™ncia externa superior a150 cm, mas no superior a 198 cm","6,5",,,,
4010.39.00,Outras,"6,5",,,,
,,,,,,
40.11,"Pneum°ticos novos, de borracha.",,,,,
4011.10.00,"- Do tipo utilizado em autom≥veis de passageiros (incluindo os ve≠culos de uso misto(station wagons) e os autom≥veis de corrida)","9,75",,,,
4011.2, do tipo utilizado em ¥nibus (autocarros) ou caminhµes,,,,,
4011.20.10,"De medida 11,00-24","1,3",,,,
4011.20.90,Outros,"1,3",,,,
4011.30.00, do tipo utilizado em ve≠culos areos,0,,,,
4011.40.00, do tipo utilizado em motocicletas,15,,,,
4011.50.00, do tipo utilizado em bicicletas,15,,,,
4011.7, do tipo utilizado em ve≠culos e m°quinas agr≠colas ou florestais,,,,,
4011.70.10,"Nas seguintes medidas: 4,00-15; 4,00-18; 4,00-19; 5,00-15; 5,00-16; 5,50-16; 6,00-16;6,00-19; 6,00-20; 6,50-16; 6,50-20; 7,50-16; 7,50-18; 7,50-20","9,75",,,,
,Ex 01 - Para m°quinas e tratores agr≠colas,"1,3",,,,
4011.70.90,Outros,"9,75",,,,
,Ex 01 - Para m°quinas e tratores agr≠colas,"1,3",,,,
4011.8,"- Do tipo utilizado em ve≠culos e m°quinas para a construo civil, de minerao e demanuteno industrial",,,,,
4011.80.10,"Radiais, para dumpers concebidos para serem utilizados fora de rodovias, com seode largura igual ou superior a 940 mm (37""), para aros de di¢metro igual ou superior a1.448 mm (57"")","9,75",,,,
4011.80.20,"Outros, com seo de largura igual ou superior a 1.143 mm (45""), para aros de di¢metroigual ou superior a 1.143 mm (45"")","9,75",,,,
4011.80.90,Outros,"9,75",,,,
4011.9, Outros,,,,,
4011.90.10,"Com seo de largura igual ou superior a 1.143 mm (45""), para aros de di¢metro igualou superior a 1.143 mm (45"")","9,75",,,,
4011.90.90,Outros,"9,75",,,,
,,,,,,
40.12,"Pneum°ticosrecauchutadosouusados,deborracha;pneusmaciosouocos,bandas de rodagem para pneum°ticos e flaps, de borracha.",,,,,
4012.1,- Pneum°ticos recauchutados:,,,,,
4012.11.00,"Do tipo utilizado em autom≥veis de passageiros (incluindo os ve≠culos de uso misto(station wagons) e os autom≥veis de corrida)",0,,,,
,Ex 01 - Remoldados,"9,75",,,,
4012.12.00,do tipo utilizado em ¥nibus (autocarros) ou caminhµes,0,,,,
,Ex 01 - Remoldados,"1,3",,,,
4012.13.00,Do tipo utilizado em ve≠culos areos,0,,,,
4012.19.00,Outros,0,,,,
,"Ex 01 - Remoldados, exceto para m°quinas e tratores agr≠colas","9,75",,,,
,"Ex 02 - Remoldados, para m°quinas e tratores agr≠colas","1,3",,,,
4012.20.00, Pneum°ticos usados,0,,,,
4012.9, Outros,,,,,
4012.90.10,Flaps,0,,,,
4012.90.90,Outros,0,,,,
,,,,,,
40.13,C¢maras de ar de borracha.,,,,,
4013.1,"- Do tipo utilizado em autom≥veis de passageiros (incluindo os ve≠culos de uso misto(station wagons) e os autom≥veis de corrida), ¥nibus (autocarros) ou caminhµes",,,,,
4013.10.10,"Para pneum°ticos do tipo utilizado em ¥nibus ou caminhµes, de medida 11,00-24","1,3",,,,
4013.10.90,Outras,"9,75",,,,
,Ex 01 - Dos tipos utilizados em ¥nibus ou caminhµes,"1,3",,,,
4013.20.00, do tipo utilizado em bicicletas,15,,,,
4013.90.00, Outras,"9,75",,,,
,Ex 01 - Dos tipos utilizados em colheitadeiras ou tratores agr≠colas,"1,3",,,,
,,,,,,
40.14,"Artigos de higiene ou de farm°cia (incluindo os bicos (tetinas) para mamadeiras(biberµes)), de borracha vulcanizada no endurecida, mesmo com partes de borrachaendurecida.",,,,,
4014.10.00, Preservativos,0,,,,
4014.9, Outros,,,,,
4014.90.10,Bolsas para gelo ou para °gua quente,"9,75",,,,
4014.90.90,Outros,"9,75",,,,
,,,,,,
40.15,"Vestu°rio e seus acess≥rios (incluindo as luvas, mitenes e semelhantes), de borrachavulcanizada no endurecida, para quaisquer usos.",,,,,
4015.1,"- Luvas, mitenes e semelhantes:",,,,,
4015.12.00,"do tipo utilizado em medicina, cirurgia, odontologia ou veterin°ria",0,,,,
4015.19.00,Outras,"9,75",,,,
,Ex 01 - De segurana e proteo,0,,,,
4015.90.00, Outros,"9,75",,,,
