Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,
,,,,,*See Below,
,,,,,CA Free,
,10J,l,Passionfruit,,,
,16H,l,Other fruit juice,,,
,19B,l,Vegetable juice,,,
,25G,l,Other,,,
2009.89.20,,,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,Fruit juice:,,,
,10D,l,Passionfruit,,,
,15E,l,Blackcurrant concentrate,,,
,19H,l,Blueberry concentrate,,,
,25B,l,Boysenberry concentrate,,,
,30J,l,Other,,,
,39B,l,Vegetable juice,,,
,45G,l,Other,,,
,,,In other containers:,,,
2009.89.30,,,Fruit juice,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Containing added sugar:,,,
,10K,l,Passionfruit,,,
,20G,l,Other,,,
,,,Other:,,,
,21E,l,Passionfruit,,,
,25H,l,Blackcurrant concentrate,,,
,29L,l,Blueberry concentrate,,,
,35E,l,Boysenberry concentrate,,,
,40A,l,Other,,,
,,,"Fruit or nut juices (including grape must and coconut, etc.continued",,,
,,,"Juice of any other single fruit, nut or vegetablecontinued",,,
,,,Othercontinued,,,
,,,In other containerscontinued,,,
,,,Vegetable juice:,,,
2009.89.40,00H,l,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
2009.89.90,00E,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA 4.5,
,,,,,RCEP 5,
,,,,,1/2025 5,
2009.89.92,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,10E,l,Containing added sugar,,,
,20B,l,Other,,,
2009.9,,,Mixtures of juices:,,,
,,,In bulk containers:,,,
2009.90.01,,,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,02A,l,Mixtures of fruit juices,,,
,09J,l,Mixtures of vegetable juices,,,
,15C,l,Other,,,
2009.90.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,02B,l,Mixtures of fruit juices,,,
,09K,l,Mixtures of vegetable juices,,,
,15D,l,Other,,,
,,,In other containers:,,,
2009.90.11,,,Containing added sugar,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,02G,l,Mixtures of fruit juices,,,
,09D,l,Mixtures of vegetable juices,,,
,15J,l,Other,,,
,,,Other:,,,
2009.90.21,00F,l,Fruit,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2009.90.29,00G,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA 4.5,
21.01,,,"Extracts, essences and concentrates, of coffee, tea or mat and",,,
,,,"preparations with a basis of these products or with a basis of coffee,",,,
,,,tea or mat; roasted chicory and other roasted coffee substitutes and,,,
,,,"extracts, essences and concentrates thereof:",,,
,,,"Extracts, essences and concentrates, of coffee, and preparations with a",,,
,,,"basis of these extracts, essences or concentrates or with a basis of coffee:",,,
2101.11.00,,,"Extracts, essences and concentrates",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,Soluble or instant coffee in dry form:,,,
,01C,kg,In packs not exceeding 1 kg,,,
,05F,kg,Other,,,
,09J,.,Other,,,
2101.12,,,"Preparations with a basis of extracts, essences or concentrates or with a",,,
,,,basis of coffee:,,,
2101.12.10,00E,.,"Coffee pastes of mixtures of ground, roasted coffee, with vegetable",,,
,,,fats and sometimes other ingredients,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2101.12.90,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,Mixtures of coffee and other ingredients in dry form:,,,
,02E,kg,In packs not exceeding 1 kg,,,
,08D,kg,Other,,,
,29G,kg,Other,,,
2101.2,,,"Extracts, essences and concentrates, of tea or mat, and preparations with",,,
,,,"a basis of these extracts, essences or concentrates or with a basis of tea",,,
,,,or mat:,,,
2101.20.01,00L,.,"Preparations consisting of a mixture of tea, milk powder and sugar",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2101.20.09,00A,.,Other,Free,Free,
2101.30.00,00H,kg,"Roasted chicory and other roasted coffee substitutes, and extracts,",,,
,,,essences and concentrates thereof,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
21.02,,,"Yeasts (active or inactive); other single-cell micro-organisms, dead",,,
,,,(but not including vaccines of heading 30.02); prepared baking powders:,,,
2102.10.00,,,Active yeasts,Free,Free,
,,,Dry yeasts having a moisture content not exceeding 50 percent:,,,
,02E,kg,BakersÄô yeast,,,
,04A,kg,Brewery yeast,,,
,06H,kg,Wine yeast,,,
,08D,kg,Other,,,
,,,Fresh yeast:,,,
,12B,kg,BakersÄô yeast,,,
,19K,kg,Other,,,
2102.2,,,"Inactive yeasts; other single-cell micro-organisms, dead:",,,
2102.20.01,00J,kg,Inactive yeasts,Free,Free,
,,,"Other single-cell micro-organisms, dead:",,,
2102.20.11,00D,.,Of algae,Free,Free,
2102.20.19,00E,.,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
2102.30.00,00F,kg,Prepared baking powders,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
21.03,,,Sauces and preparations therefor; mixed condiments and mixed,,,
,,,seasonings; mustard flour and meal and prepared mustard:,,,
2103.10.00,00G,l,Soya sauce,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
2103.20.00,00L,l,Tomato ketchup and other tomato sauces,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2103.3,,,Mustard flour and meal and prepared mustard:,,,
2103.30.01,00L,kg,Mustard flour and meal,Free,Free,
2103.30.09,00A,kg,Prepared mustard,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
2103.90.00,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,"Sauces and preparations therefor, not elsewhere specified:",,,
,10C,1,Containing peanuts,,,
,15D,1,Other,,,
,,,Mixed condiments:,,,
,23E,1,Containing peanuts,,,
,27H,1,Other,,,
,,,Mixed seasonings:,,,
,33B,1,Containing peanuts,,,
,39A,1,Other,,,
21.04,,,Soups and broths and preparations therefor; homogenised composite,,,
,,,food preparations:,,,
2104.1,,,Soups and broths and preparations therefor:,,,
2104.10.01,05B,kg,"Fish, crustacean and mollusc",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2104.10.09,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,41K,.,Meat,,,
,45B,kg,Vegetable,,,
,49E,.,Other,,,
2104.20.00,00J,.,Homogenised composite food preparations,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
21.05,,,,,,
2105,,,"Ice cream and other edible ice, whether or not containing cocoa:",,,
2105.00.10,00E,kg,Containing cocoa,5,Free,
,,,,,*See Below,
,,,,,CA 2,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Containing alcohol:,,,
2105.00.11,00A,l,Containing not more than 1.15 % vol.,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,"Ice cream and other edible ice, whether or not, etc.continued",,,
,,,Containing alcoholcontinued,,,
2105.00.21,00G,l,"Containing more than 1.15 % vol., but not more than 2.5 % volper l",,5,Free
,,,,,plus 55.351¢1,*See Below
,,,,,,plus 55.351¢1
,,,,,,CA Free
,,,,,,plus 55.351¢1
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,,,,,,plus 55.351¢1
2105.00.29,00H,l al,"Containing more than 2.5 % vol., but not more than 6 % volper l al",,5,Free
,,,,,plus $36.9051,*See Below
,,,,,,plus $36.9051
,,,,,,CA Free
,,,,,,plus $36.9051
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,,,,,,plus $36.9051
2105.00.31,00B,l,"Containing more than 6 % vol., but not more than 9 % volper l",,5,Free
,,,,,plus $2.95241,*See Below
,,,,,,plus $2.95241
,,,,,,CA Free
,,,,,,plus $2.95241
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,,,,,,plus $2.95241
2105.00.39,00C,l,"Containing more than 9 % vol., but not more than 14 % volper l",,5,Free
,,,,,plus $3.69051,*See Below
,,,,,,plus $3.69051
,,,,,,CA Free
,,,,,,plus $3.69051
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,,,,,,plus $3.69051
2105.00.42,00D,l al,"Containing more than 14 % vol., but not more than 23 % volper l al",,5,Free
,,,,,plus $67.2201,*See Below
,,,,,,plus $67.2201
,,,,,,CA Free
,,,,,,plus $67.2201
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,,,,,,plus $67.2201
2105.00.49,00J,l al,Other per l al,,5,Free
,,,,,plus $67.2201,*See Below
,,,,,,plus $67.2201
,,,,,,CA Free
,,,,,,plus $67.2201
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,,,,,,plus $67.2201
2105.00.59,00D,kg,Other,,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,RCEP 3.5
,,,,,,1/2025 3
21.06,,,Food preparations not elsewhere specified or included:,,,
2106.1,,,Protein concentrates and textured protein substances:,,,
2106.10.01,00H,.,Textured vegetable protein,,Free,Free
2106.10.09,00J,.,Other,,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,RCEP 3.5
,,,,,,1/2025 3
2106.9,,,Other:,,,
2106.90.10,10C,kg,Tablets consisting of saccharin and a foodstuff used for sweetening,,,
,,,purposes,,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,LDC Free
,,,,,,RCEP 5
,,,,,,1/2025 5
,,,Food preparations not elsewhere specified or includedcontinued,,,
,,,Othercontinued,,,
,,,"Compound alcoholic preparations, not based on one or more",,,
,,,"odoriferous substances, of a kind used for the manufacture of",,,
,,,beverages:,,,
2106.90.20,00A,l,Containing not more than 1.15 % vol.,Free,Free,
,,,"Containing more than 1.15 % vol., but not more than 2.5 % vol.:",,,
2106.90.31,00C,l,For further manufacture in a licensed manufacturing area,Free,Free,
2106.90.39,00D,l,Other,Free,Free,
,,,"Containing more than 2.5 % vol., but not more than 6 % vol.:",,,
2106.90.41,00J,l al,For further manufacture in a licensed manufacturing area,Free,Free,
2106.90.49,00K,l al,Other,Free,Free,
,,,"Containing more than 6 % vol., but not more than 9 % vol.:",,,
2106.90.51,00D,l,For further manufacture in a licensed manufacturing area,Free,Free,
2106.90.59,00E,l,Other,Free,Free,
,,,"Containing more than 9 % vol., but not more than 14 % vol.:",,,
2106.90.61,00K,l,For further manufacture in a licensed manufacturing area,Free,Free,
2106.90.69,00L,l,Other,Free,Free,
,,," Containing more than 14 % vol., but not more than 23 % vol.:",,,
2106.90.71,00E,l, For further manufacture in a licensed manufacturing area,Free,Free,
2106.90.79,00F,l,Other,Free,Free,
,,,Other:,,,
2106.90.81,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,Not exceeding 57 % vol.:,,,
,01J,l al,In containers of a capacity of less than 180 litres,,,
,09D,l al,In other containers,,,
,,,Other:,,,
,11F,l al,In containers of a capacity of less than 180 litres,,,
,19A,l al,In other containers,,,
2106.90.89,,,Other,Free,Free,
,,,Not exceeding 57 % vol.:,,,
,01K,l al,In containers of a capacity of less than 180 litres,,,
,09E,l al,In other containers,,,
,,,Other:,,,
,11G,l al,In containers of a capacity of less than 180 litres,,,
,19B,l al,In other containers,,,
,,,Edible ice mixtures containing alcohol:,,,
2106.90.91,00F,l,Containing not more than 1.15 % vol.,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
2106.90.92,00B,l,"Containing more than 1.15 % vol., but not more than 2.5 % volper l",5,Free,
,,,,plus 55.351¢1,*See Below,
,,,,,plus 55.351¢1,
,,,,,CA Free,
,,,,,plus 55.351¢1,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,,,plus 55.351¢1,
2106.90.93,00J,l al,"Containing more than 2.5 % vol., but not more than 6 % volper l al",5,Free,
,,,,plus $36.9051,*See Below,
,,,,,plus $36.9051,
,,,,,CA Free,
,,,,,plus $36.9051,
,,,,,RCEP 5,
,,,,,1/2025 5,
,,,,,plus $36.9051,
,,,Food preparations not elsewhere specified or includedcontinued,,,
,,,Othercontinued,,,
,,,Edible ice mixtures containing alcoholcontinued,,,
2106.90.94,00E,l,"Containing more than 6 % vol., but not more than 9 % volper l",,5,Free
,,,,,plus $2.95241,*See Below
,,,,,,plus $2.95241
,,,,,,CA Free
,,,,,,plus $2.95241
,,,,,,RCEP 5
,,,,,,1/2025 5
,,,,,,plus $2.95241
2106.90.95,00A,l,"Containing more than 9 % vol., but not more than 14 % volper l",,5,Free
,,,,,plus $3.69051,*See Below
,,,,,,plus $3.69051
,,,,,,CA Free
,,,,,,plus $3.69051
,,,,,,RCEP 5
,,,,,,1/2025 5
,,,,,,plus $3.69051
2106.90.98,00L,l al,"Containing more than 14 % vol., but not more than 23 % volper l al",,5,Free
,,,,,plus $67.2201,*See Below
,,,,,,plus $67.2201
,,,,,,CA Free
,,,,,,plus $67.2201
,,,,,,RCEP 5
,,,,,,1/2025 5
,,,,,,plus $67.2201
2106.90.97,00D,l al,Other per l al,,5,Free
,,,,,plus $67.2201,*See Below
,,,,,,plus $67.2201
,,,,,,CA Free
,,,,,,plus $67.2201
,,,,,,RCEP 5
,,,,,,1/2025 5
,,,,,,plus $67.2201
2106.90.99,,,Other,,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,01E,.,Mixtures of chemicals and foodstuffs of a kind used in the,,,
,,,preparation of human foodstuffs,,,
,09L,kg,Coconut cream,,,
,11B,kg,Nut pastes,,,
,19H,kg,"Sweetfat, preparations of edible fats (including butterfat) and sugar",,,
,21K,kg,Crystals or powders for preparing beverages,,,
,29E,kg,Jelly crystals or powders,,,
,,,Other:,,,
,,,In aerosol containers:,,,
,42B,No.,Containing chlorofluorocarbons,,,
,48A,No.,Other,,,
,,,Other:,,,
,,,Containing deer products:,,,
,61J,kg,In tablet form,,,
,69D,kg,Other,,,
,80E,kg,Other,,,
22.01,,,"Waters, including natural or artificial mineral waters and aerated",,,
,,,"waters, not containing added sugar or other sweetening matter nor",,,
,,,flavoured; ice and snow:,,,
2201.1,,,Mineral waters and aerated waters:,,,
2201.10.01,00C,l,In metal containers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2201.10.09,00D,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
2201.9,,,Other:,,,
2201.90.01,,,In metal containers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,In aerosol containers:,,,
,02J,No.,Containing chlorofluorocarbons,,,
,08H,No.,Other,,,
,19C,l,Other,,,
2201.90.09,00C,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
22.02,,,"Waters, including mineral waters and aerated waters, containing",,,
,,,"added sugar or other sweetening matter or flavoured, and other",,,
,,,"non-alcoholic beverages, not including fruit, nut or vegetable juices",,,
,,,of heading 20.09:,,,
2202.1,,,"Waters, including mineral waters and aerated waters, containing added",,,
,,,sugar or other sweetening matter or flavoured:,,,
2202.10.01,00A,l,In metal containers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
2202.10.09,00B,l,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,Other:,,,
2202.91,,,Non-alcoholic beer:,,,
2202.91.10,,,In metal containers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,10A,l,Containing deer products,,,
,19E,l,Other,,,
2202.91.90,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,LDC 4,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,10E,l,Containing deer products,,,
,19J,l,Other,,,
2202.99,,,Other:,,,
2202.99.10,,,In metal containers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,10H,l,Containing deer products,,,
,19A,l,Other,,,
,,,"Waters, including mineral waters and aerated, etc.continued",,,
,,,Othercontinued,,,
,,,Othercontinued,,,
2202.99.90,,,Other,,5,Free
,,,,,,*See Below
,,,,,,CA Free
,,,,,,LDC 4
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,10A,l,Containing deer products,,,
,20J,l,Other,,,
22.03,,,,,,
2203,,,Beer made from malt:,,,
2203.00.02,,,Containing not more than 1.15 % vol.,,Free,Free
,01L,l,Cans,,,
,09F,l,Other,,,
2203.00.12,,,"Containing more than 1.15 % vol., but not more than 2.5 % volper l",,55.351¢1,.
,01F,l,Cans,,,
,09A,l,Other,,,
2203.00.22,,,"Containing more than 2.5 % vol., but not more than 4.35 % volper l al",,$36.91 ,.
,02K,l al,Cans,,,
,08J,l al,Other,,,
2203.00.31,,,"Containing more than 4.35 % vol., but not more than 5 % volper l al",,$36.91 ,.
,02J,l al,Cans,,,
,08H,l al,Other,,,
2203.00.39,,,Containing more than 5 % volper l al,,$36.91 ,.
,02K,l al,Cans,,,
,08J,l al,Other,,,
22.04,,,"Wine of fresh grapes, including fortified wines; grape must other than",,,
,,,that of heading 20.09:,,,
2204.1,,,Sparkling wine:,,,
2204.10.01,00H,l,Champagne per l,,$3.69 ,.
,,,Other:,,,
2204.10.12,,,For further manufacture in a licensed manufacturing area,,5,Free
,,,,,,*See Below
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,01H,l,Red,,,
,09C,l,White,,,
2204.10.18,,,Other per l,,5,Free
,,,,,plus $3.69051,*See Below
,,,,,,plus $3.69051
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,,,,,,plus $3.69051
,01F,l,Red,,,
,09A,l,White,,,
,,,Other wine; grape must with fermentation prevented or arrested by the,,,
,,,addition of alcohol:,,,
2204.21,,,In containers holding 2 litres or less:,,,
,,,"Wine of fresh grapes, including fortified, etc.continued",,,
,,,"Other wine; grape must with fermentation prevented, etc.continued",,,
,,,In containers holding 2 litres or lesscontinued,,,
2204.21.02,,,For further manufacture in a licensed manufacturing area,5,Free,
,,,,,*See Below,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,Containing not more than 14 % vol.:,,,
,,,White:,,,
,01L,l,In containers of a capacity of not more than 750 ml,,,
,09F,l,In other containers,,,
,,,Red:,,,
,11H,l,In containers of a capacity of not more than 750 ml,,,
,19C,l,In other containers,,,
,,,Other:,,,
,,,Sherry:,,,
,21E,l,In containers of a capacity of not more than 750 ml,,,
,29L,l,In other containers,,,
,,,Port:,,,
,31B,l,In containers of a capacity of not more than 750 ml,,,
,39H,l,In other containers,,,
,,,Other kinds:,,,
,41K,l,In containers of a capacity of not more than 750 ml,,,
,49E,l,In other containers,,,
,,,Other:,,,
2204.21.13,,,"Containing more than 14 % vol., fortified by the addition",,,
,,,of spirits or any substance containing spirit per l al,5,Free,
,,,,plus $67.2201,*See Below,
,,,,,plus $67.2201,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,,,plus $67.2201,
,,,Sherry:,,,
,01B,l al,In containers of a capacity of not more than 750 ml,,,
,09H,l al,In other containers,,,
,,,Port:,,,
,11K,l al,In containers of a capacity of not more than 750 ml,,,
,19E,l al,In other containers,,,
,,,Other kinds:,,,
,21G,l al,In containers of a capacity of not more than 750 ml,,,
,29B,l al,In other containers,,,
2204.21.18,,,Other per l,5,Free,
,,,,plus $3.69051,*See Below,
,,,,,plus $3.69051,
,,,White:,,,
,01D,l,In containers of a capacity of not more than 750 ml,,,
,09K,l,In other containers,,,
,,,Red:,,,
,11A,l,In containers of a capacity of not more than 750 ml,,,
,19G,l,In other containers,,,
2204.22,,,In containers holding more than 2 litres but not more than 10 litres:,,,
2204.22.10,,,For further manufacture in a licensed manufacturing area,5,Free,
,,,,,*See Below,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,Containing not more than 14 % vol.:,,,
,10G,l,White,,,
,11E,l,Red,,,
,,,Other:,,,
,13A,l,Sherry,,,
,15H,l,Port,,,
,19L,l,Other kinds,,,
,,,Other:,,,
2204.22.19,,,"Containing more than 14 % vol., fortified by the",,,
,,,addition of spirits or any substance containing spirit per l al,5,Free,
,,,,plus $67.2201,*See Below,
,,,,,plus $67.2201,
,10D,l al,Sherry,,,
,11B,l al,Port,,,
,19H,l al,Other kinds,,,
,,,"Wine of fresh grapes, including fortified, etc.continued",,,
,,,"Other wine; grape must with fermentation prevented, etc.continued",,,
,,,"In containers holding more than 2 litres but not more, etc.continued",,,
,,,Othercontinued,,,
2204.22.90,,,Other per l,5,Free,
,,,,plus $3.69051,*See Below,
,,,,,plus $3.69051,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,,,plus $3.69051,
,10L,l,White,,,
,19D,l,Red,,,
2204.29,,,Other:,,,
2204.29.10,,,For further manufacture in a licensed manufacturing area,5,Free,
,,,,,*See Below,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
S,,,Containing not more than 14 % vol.:,,,
,10J,l,White,,,
,30C,l,Red,,,
,,,Other,,,
,31A,l,Sherry,,,
,33H,l,Port,,,
,39G,l,Other kinds,,,
,,,Other:,,,
2204.29.20,,,"Containing more than 14 % vol., fortified by the addition",,,
,,,of spirits or any substance containing spirit per l al,5,Free,
,,,,plus $67.2201,*See Below,
,,,,,plus $67.2201,
,10D,l al,Sherry,,,
,20A,l al,Port,,,
,29E,l al,Other kinds,,,
2204.29.90,,,Other per l,5,Free,
,,,,plus $3.69051,*See Below,
,,,,,plus $3.69051,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,,,plus $3.69051,
,10B,l,White,,,
,19F,l,Red,,,
2204.30.00,00J,l,Other grape must,5,Free,
,,,,,*See Below,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
22.05,,,Vermouth and other wine of fresh grapes flavoured with plants or,,,
,,,aromatic substances:,,,
2205.1,,,In containers holding 2 litres or less:,,,
,,,Vermouth,,,
2205.10.01,,,For further manufacture in a licensed manufacturing area,Free,Free,
,01D,l,"Containing more than 14 % vol., fortified by the addition of spirits",,,
,,,or any substance containing spirit,,,
,,,Other:,,,
,11A,l,Containing not more than 6 % vol.,,,
,19G,l,"Containing more than 6 % vol., but not more than 9.5 % vol.",,,
,29D,l,Containing more than 9.5 % vol.,,,
,,,Other:,,,
ÔÅ∞2205.10.12,00H,l al,"Containing more than 14 % vol., fortified by the",,,
,,,addition of spirits or any substance containing spirit per l al,$67.22 ,.,
2205.10.19,00B,l,Other per l,$3.69 ,.,
,,,Other:,,,
2205.10.22,,,For further manufacture in a licensed manufacturing area,5,Free,
,,,,,*See Below,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01A,l,"Containing more than 14 % vol., fortified by the addition of spirits",,,
,,,or any substance containing spirit,,,
,,,Other:,,,
,11J,l,Containing not more than 6 % vol.,,,
,21F,l,"Containing more than 6 % vol., but not more than 9.5 % vol.",,,
,29A,l,Containing more than 9.5 % vol.,,,
,,,Vermouth and other wine of fresh grapes flavouredcontinued,,,
,,,In containers holding 2 litres or lesscontinued,,,
,,,Othercontinued,,,
,,,Other:,,,
2205.10.33,00E,l al,"Containing more than 14 % vol., fortified by the",,,
,,,addition of spirits or any substance containing spirit per l al,,5,Free
,,,,,plus $67.2201,*See Below
,,,,,,plus $67.2201
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,,,,,,plus $67.2201
2205.10.38,00G,l,Other per l,,5,Free
,,,,,plus $3.69051,*See Below
,,,,,,plus $3.69051
,,,,,,RCEP 3.5
,,,,,,1/2025 3
,,,,,,plus $3.69051
2205.9,,,Other:,,,
,,,Vermouth:,,,
2205.90.01,,,For further manufacture in a licensed manufacturing area,,Free,Free
,01C,l,"Containing more than 14 % vol., fortified by the addition of spirits",,,
,,,or any substance containing spirit,,,
,,,Other:,,,
,11L,l,Containing not more than 6 % vol.,,,
,19F,l,"Containing more than 6 % vol., but not more than 9.5 % vol.",,,
,29C,l,Containing more than 9.5 % vol.,,,
,,,Other:,,,
2205.90.12,00G,l al,"Containing more than 14 % vol., fortified by the",,,
,,,addition of spirits or any substance containing spirit per l al,,$67.22 ,.
2205.90.19,00A,l,Other per l,,$3.69 ,.
,,,Other:,,,
2205.90.22,,,For further manufacture in a licensed manufacturing area,,5,Free
,,,,,,*See Below
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,01L,l,"Containing more than 14 % vol., fortified by the addition of spirits",,,
,,,or any substance containing spirit,,,
,,,Other:,,,
,11H,l,Containing not more than 6 % vol.,,,
,21E,l,"Containing more than 6 % vol., but not more than 9.5 % vol.",,,
,29L,l,Containing more than 9.5 % vol.,,,
,,,Other:,,,
2205.90.33,00D,l al,"Containing more than 14 % vol., fortified by the",,,
,,,addition of spirits or any substance containing spirit per l al,,5,Free
,,,,,plus $67.2201,*See Below
,,,,,,plus $67.2201
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,,,,,,plus $67.2201
2205.90.38,00F,l,Other per l,,5,Free
,,,,,plus $3.69051,*See Below
,,,,,,plus $3.69051
,,,,,,RCEP 4
,,,,,,1/2025 3.7
,,,,,,plus $3.69051
22.06,,,,,,
2206,,,"Other fermented beverages (for example, cider, perry, mead, sak);",,,
,,,mixtures of fermented beverages and mixtures of fermented beverages,,,
,,,"and non-alcoholic beverages, not elsewhere specified or included:",,,
,,,Fruit wine and vegetable wine:,,,
,,,Containing not more than 14 % vol.:,,,
2206.00.02,,,For further manufacture in a licensed manufacturing area,,Free,Free
,,,Kiwifruit wine:,,,
,01E,l,Sparkling,,,
,09L,l,Other,,,
,19H,l,Other,,,
2206.00.08,,,Other per l,,$3.69 ,.
,,,Kiwifruit wine:,,,
,01C,l,Sparkling,,,
,09J,l,Other,,,
,19F,l,Other,,,
,,,"Other fermented beverages (for example, cider, etc.continued",,,
,,,Fruit wine and vegetable winecontinued,,,
,,,"Containing more than 14 % vol., but not more than 23 % vol.:",,,
2206.00.12,,,For further manufacture in a licensed manufacturing area,,Free,Free
,,,Kiwifruit wine:,,,
,01L,l,Sparkling,,,
,09F,l,Other,,,
,19C,l,Other,,,
2206.00.17,,,Other per l al,,$67.22 ,.
,,,Kiwifruit wine:,,,
,01B,l al,Sparkling,,,
,09H,l al,Other,,,
,19E,l al,Other,,,
,,,Other:,,,
2206.00.22,00H,l al,For further manufacture in a licensed manufacturing area,,Free,Free
2206.00.28,00F,l al,Other per l al,,$67.22 ,.
,,,Other:,,,
2206.00.32,,,Containing not more than 1.15 % vol.,,Free,Free
,01A,l,Sparkling,,,
,09G,l,Other,,,
,,,"Containing more than 1.15 % vol., but not more than 2.5 % vol.:",,,
2206.00.33,,,For further manufacture in a licensed manufacturing area,,Free,Free
,01H,l,Sparkling,,,
,09C,l,Other,,,
2206.00.37,,,Other per l,,55.351¢1,.
,01C,l,Sparkling,,,
,09J,l,Other,,,
,,,"Containing more than 2.5 % vol., but not more than 6 % vol.:",,,
